,mag_attr_x,mag_attr_y,mag_attr_z,mic_attr_db,acc_attr_x,acc_attr_y,acc_attr_z,activity
0,-13.832,-42.749,4.823,12.1067617457852,-0.39145198,10.129868,-1.0779893,jumping
1,-13.832,-42.749,4.823,46.7199002184307,-0.3854665,10.115502,-1.0630256,jumping
2,-13.491,-42.749,4.823,31.220922399172,-0.33279404,10.111911,-1.0893618,jumping
3,-13.491,-42.749,4.823,51.2857560543342,-0.29388827,10.123882,-1.1097125,jumping
4,-13.491,-42.749,4.823,59.5844575655103,-0.22625206,10.143634,-1.0911574,jumping
5,-13.491,-42.749,4.823,40.6548819824654,-0.18674773,10.119692,-1.0336965,jumping
6,-13.491,-42.749,4.823,51.5439224695915,-0.19871874,10.149021,-1.0163386,jumping
7,-13.491,-42.749,4.823,48.4991754624069,-0.18195933,10.1621895,-1.0199299,jumping
8,-13.491,-42.749,4.823,53.1616495907797,-0.17657238,10.14543,-1.0342951,jumping
9,-13.491,-42.749,4.823,51.2158125999938,-0.19871874,10.138845,-1.0324994,jumping
10,-13.491,-42.749,4.823,42.344305622952,-0.19153613,10.123283,-1.0103531,jumping
11,-13.491,-42.749,4.823,50.82739251249,-0.16400282,10.111312,-1.0295067,jumping
12,-13.491,-42.749,4.823,54.0294464118559,-0.17238252,10.138845,-1.0564415,jumping
13,-13.491,-42.749,4.823,55.6608198926454,-0.19393034,10.160394,-1.0540473,jumping
14,-13.491,-42.749,4.823,59.7019285880269,-0.20231004,10.147225,-1.0522517,jumping
15,-13.491,-42.749,4.823,53.7053576162514,-0.2124854,10.157401,-1.049259,jumping
16,-13.491,-42.749,4.823,52.577348386905,-0.22026655,10.141838,-1.0432734,jumping
17,-13.491,-42.749,4.823,48.7325692653636,-0.18794483,10.128072,-1.033098,jumping
18,-13.491,-42.749,4.823,44.3409986871761,-0.18136078,10.1143055,-1.0223241,jumping
19,-13.491,-42.749,4.823,36.2806395182172,-0.16460137,10.121488,-1.0336965,jumping
20,-13.868,-42.749,4.823,52.4197945643236,-0.15442601,10.126276,-1.0235212,jumping
21,-13.868,-42.749,4.823,34.8370863712999,-0.15981296,10.143036,-1.0301052,jumping
22,-13.868,-42.749,5.123,41.677051282409,-0.16819267,10.140641,-1.0205284,jumping
23,-13.868,-42.749,5.123,61.7768501611468,-0.18614918,10.166379,-1.0199299,jumping
24,-14.21,-42.749,5.123,51.6798897421253,-0.22266077,10.089166,-0.9888053,jumping
25,-14.21,-42.749,5.123,51.334385748759,-0.19393034,10.044873,-1.0067618,jumping
26,-14.21,-42.749,5.123,44.2843280428359,-0.20649989,10.118495,-1.0223241,jumping
27,-14.21,-42.749,5.123,46.1086916460691,-0.25318682,10.063428,-0.9744401,jumping
28,-14.21,-42.749,5.123,42.0239850376204,-0.1400608,10.014946,-0.93493575,jumping
29,-14.21,-42.749,5.123,32.4649560793258,-0.035314474,10.101735,-0.99898064,jumping
30,-14.21,-42.749,5.123,50.5390049435216,-0.022146367,10.126276,-1.0336965,jumping
31,-14.21,-42.749,5.123,55.5675164094968,-0.04070143,10.148422,-1.0055647,jumping
32,-14.21,-42.749,5.123,32.2712814671903,-0.12330139,10.135254,-0.9528923,jumping
33,-14.21,-42.749,5.123,56.6935651652044,-0.20649989,10.122087,-0.9636662,jumping
34,-14.21,-42.749,5.123,58.1394439535787,-0.22325931,10.1226845,-1.0085574,jumping
35,-14.21,-42.749,5.123,41.040957381895,-0.2088941,10.143634,-1.0151415,jumping
36,-14.21,-42.749,5.123,49.3132164973158,-0.19033903,10.04607,-1.0199299,jumping
37,-14.21,-42.749,5.123,36.7102708645186,-0.20051439,10.093954,-1.062427,jumping
38,-14.21,-42.749,5.123,48.9434180148116,-0.2825158,10.097546,-1.0295067,jumping
39,-14.21,-42.749,5.123,57.0500927732169,-0.2777274,10.086772,-0.99538934,jumping
40,-14.21,-42.749,5.123,35.0062682846437,-0.24959552,10.04607,-1.0522517,jumping
41,-14.21,-42.749,5.123,50.8837022811251,-0.22325931,10.076596,-1.050456,jumping
42,-14.21,-42.749,5.123,31.7529592774121,-0.17836803,10.077195,-1.0480618,jumping
43,-14.21,-42.749,5.123,41.1912080486064,-0.17238252,10.105926,-1.0630256,jumping
44,-14.21,-42.749,5.123,45.3325582701602,-0.19692309,10.151415,-1.0546459,jumping
